弾き語り曲りすと - database
Songs,Artists,キー,ジャンル(?),出てる作品
天ノ弱,164 feat. gumi,-3,ボカロ,
だんだん早くなる,40mP,0,ボカロ,
からくりピエロ,40mP feat.初音ミク,0,ボカロ,
恋愛裁判,40mP feat.初音ミク,0,ボカロ,
Hello,Adele,0,洋楽,
when we were young,Adele,0,洋楽,
Rolling in the Deep,Adele,0,洋楽,
Someone like you,Adele,0,洋楽,
Easy on me,Adele,0,洋楽,
うっせぇわ,Ado,0,J-POP,
ウタカタララバイ,Ado,0,J-POP,
逆光,Ado,0,J-POP,
私は最強,Ado,0,J-POP,
新時代,Ado,0,J-POP,
世界の続き,Ado,0,J-POP,
風のゆくえ,Ado,0,J-POP,
ギラギラ,Ado,0,J-POP,
唱,Ado,0,J-POP,
レディメイド,Ado,0,J-POP,
阿修羅ちゃん,Ado,0,J-POP,
Tot Musica,Ado,0,J-POP,
罪と罰,Ado,0,J-POP,
踊,Ado,0,J-POP,
夜のピエロ,Ado,0,J-POP,
Do You Wnat to Build a Snowman?,"Agatha Lee Monn, Katie Lopez, and Kristen Bell ",0,"洋楽, ディズニー",Frozen
ボーイフレンド,aiko,0,J-POP,
ストロー,AIKO,0,J-POP,
カブトムシ,AIKO,0,J-POP,
花火,AIKO,0,J-POP,
蝶々結び,Aimer,0,J-POP,
カタオモイ,Aimer,0,J-POP,
かくれんぼ,AliA,0,J-POP,
季節は次々死んでいく,amazarashi,0,J-POP,
1.0,amazarashi,0,J-POP,
空に歌えば,amazarashi,3,J-POP,
帰ってこいよ,Amazarashi,0,J-POP,
Manual,Anly,0,J-POP,
カラノココロ,Anly,0,J-POP,
太陽に笑え,Anly,0,J-POP,
2002,Anne-Marie,0,洋楽,
Then,Anne-Marie,0,洋楽,
FRIENDS,Anne-Marie and Marshmello,0,洋楽,
Break Free (ft. Zedd),Ariana Grande,0,洋楽,
One Last Time,Ariana Grande,0,洋楽,
"Thank U, Next",Ariana Grande,0,洋楽,
